"provider_code","capability_code","model_name","before_enabled","after_enabled","status","replacement"
"openrouter","avatar_generation","bytedance-seed/seedream-4.5","t","t","preserved",""
"openrouter","chibi_avatar_generation","bytedance-seed/seedream-4.5","f","f","preserved",""
"openrouter","character_generation","bytedance-seed/seedream-4.5","f","f","preserved",""
"openrouter","poster_generation","bytedance-seed/seedream-4.5","t","t","preserved",""
"openrouter","thumbnail_generation","bytedance-seed/seedream-4.5","t","t","preserved",""
"openrouter","text_to_video","google/veo-3.1","t","t","preserved",""
"openrouter","image_to_video","google/veo-3.1","t","t","preserved",""
"image_ai_creative_render","avatar_generation","internal_default","t","t","preserved",""
"image_ai_creative_render","chibi_avatar_generation","internal_default","t","t","preserved",""
"image_ai_creative_render","character_generation","internal_default","t","t","preserved",""
"openrouter","image_generation","bytedance-seed/seedream-4.5","f","f","preserved",""
"yescale_task_image","image_generation","nano-banana-2","t","t","preserved",""
"yescale_task_image","image_generation","seedream-5","t","t","preserved",""
"yescale_task_image","image_generation","gpt-image","t","t","preserved",""
"yescale_task_image","avatar_generation","nano-banana-2","t","t","preserved",""
"yescale_task_image","avatar_generation","gpt-image","t","t","preserved",""
"yescale_task_image","avatar_generation","seedream-5","t","t","preserved",""
"yescale_task_image","chibi_avatar_generation","nano-banana-2","t","t","preserved",""
"yescale_task_image","chibi_avatar_generation","gpt-image","t","t","preserved",""
"yescale_task_image","chibi_avatar_generation","seedream-5","t","t","preserved",""
"yescale_task_image","character_generation","nano-banana-2","t","t","preserved",""
"yescale_task_image","character_generation","gpt-image","t","t","preserved",""
"yescale_task_image","character_generation","seedream-5","t","t","preserved",""
"yescale_task_image","scene_image_generation","nano-banana-2","t","t","preserved",""
"yescale_task_image","scene_image_generation","gpt-image","t","t","preserved",""
"yescale_task_image","scene_image_generation","seedream-5","t","t","preserved",""
"yescale_task_image","poster_generation","nano-banana-2","t","t","preserved",""
"yescale_task_image","poster_generation","gpt-image","t","t","preserved",""
"yescale_task_image","poster_generation","seedream-5","t","t","preserved",""
"yescale_task_image","thumbnail_generation","nano-banana-2","t","t","preserved",""
"yescale_task_image","thumbnail_generation","gpt-image","t","t","preserved",""
"yescale_task_image","thumbnail_generation","seedream-5","t","t","preserved",""
"image_ai_creative_render","scene_image_generation","internal_default","t","t","preserved",""
"yescale_task_video","image_to_video","omni-flash","t","t","preserved",""
"kie","motion_control_video","kling-2.6/motion-control","f",,"consolidated-or-replaced","dance_sell_motion_video"
"kie","dance_sell_motion_video","kling-2.6/motion-control","","t","added-required-seed",""
"kie","dance_sell_reference_image","gpt-image-2-image-to-image","","t","added-required-seed",""
