schema_name,object_name,object_kind,row_count,owner
billing,ai_image_billing_records,r,15,postgres
billing,ai_image_provider_attempts,r,15,postgres
billing,token_transactions,r,10,todox_user
billing,token_usage_logs,r,301,todox_user
billing,token_wallets,r,2,todox_user
dance_sell,dance_sell_jobs,r,0,postgres
public,app_users,r,0,postgres
public,customer_accounts,r,0,postgres
public,customers,r,0,postgres
public,missing,r,1,postgres
public,render_orders,r,0,postgres
public,service_packages,r,3,postgres
public,todox_ai_character,r,7,postgres
public,todox_ai_character_id_seq,S,0,postgres
public,todox_ai_character_reference,r,0,postgres
public,todox_ai_character_reference_id_seq,S,0,postgres
public,todox_ai_character_render,r,47,postgres
public,todox_ai_character_render_id_seq,S,0,postgres
public,todox_ai_provider,r,5,postgres
public,todox_ai_provider_capability,r,35,postgres
public,todox_ai_provider_capability_id_seq,S,0,postgres
public,todox_ai_provider_id_seq,S,0,postgres
public,todox_ai_provider_usage_log,r,0,postgres
public,todox_ai_provider_usage_log_id_seq,S,0,postgres
public,todox_customer_credit_transaction,r,0,postgres
public,todox_customer_credit_transaction_id_seq,S,0,postgres
public,token_transactions,r,0,postgres
public,token_wallets,r,0,postgres
render,image_render_requests,r,333,todox_user
render,marketing_image_render_logs,r,8,postgres
render,render_artifacts,r,0,todox_user
render,render_events,r,0,todox_user
render,render_job_events,r,58,todox_user
render,render_job_inputs,r,0,todox_user
render,render_job_snapshots,r,0,postgres
render,render_job_steps,r,0,todox_user
render,render_jobs,r,12,todox_user
render,render_scenes,r,0,todox_user
system,api_providers,r,0,todox_user
system,app_settings,r,12,todox_user
system,database_versions,r,0,todox_user
system,foundation_versions,r,7,todox_user
system,navigation_menu_groups,r,6,postgres
system,navigation_menu_items,r,19,postgres
system,provider_credentials,r,0,todox_user
system,tenants,r,1,todox_user
