table_name,row_count
app_users,0
billing.ai_billing_records,0
billing.ai_provider_attempts,0
billing.token_transactions,10
billing.token_usage_logs,0
billing.token_wallets,2
customer_accounts,0
customers,0
dance_sell.dance_sell_jobs,0
dance_sell.dance_sell_reference_versions,0
missing,1
render.image_render_requests,333
render.marketing_image_render_logs,8
render.render_artifacts,0
render.render_job_events,0
render.render_job_inputs,0
render.render_job_steps,0
render.render_jobs,0
render_orders,0
service_packages,3
system.api_providers,0
system.app_settings,12
system.database_versions,0
system.foundation_versions,7
system.navigation_menu_groups,6
system.navigation_menu_items,19
system.provider_credentials,0
system.tenants,1
todox_ai_character,7
todox_ai_character_reference,0
todox_ai_character_render,47
todox_ai_provider,5
todox_ai_provider_account,1
todox_ai_provider_account_credential,1
todox_ai_provider_account_lease,0
todox_ai_provider_balance_ledger,0
todox_ai_provider_capability,36
todox_ai_provider_usage_log,0
todox_customer_credit_transaction,0
token_transactions,0
token_wallets,0
